M¢dulo de An lise: Origem de Dados da Coleta;;;;;;;
Data de solicita‡Æo 09/11/2018;;;;;;;
Per¡odo Solicitado de 01/07/2018 at‚ 01/07/2018;;;;;;;
Agente;Ponto / Grupo;Data;Hora;Ativa C (kWh);Ativa G (kWh);Qualidade;Origem
RONDINHA;SCINVDUINVD01 (L);01/07/2018;1;0;1.206,93;Completo;COLETA DIµRIA
RONDINHA;SCINVDUINVD01 (L);01/07/2018;2;0;1.212,17;Completo;COLETA DIµRIA
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
